instance_id,n_nodes,optimal_tour_length,hybrid_tour_length,lk_tour_length,nn_tour_length,hybrid_gap_percent,hybrid_runtime_ms,lk_runtime_ms,coordinates
WH_0000,69,47.53,51.81,48.53,56.42,9.0,45.8,304.7,"[(23.1,37.2),(17.7,8.0),(22.0,40.9),(18.6,41.6),(78.0,25.4)...]"
WH_0001,62,50.66,54.72,51.73,60.14,8.0,64.8,237.1,"[(36.9,5.2),(86.4,31.8),(47.3,35.3),(96.8,1.6),(18.6,46.8)...]"
WH_0002,71,54.46,58.71,55.61,64.65,7.8,65.7,325.7,"[(71.6,35.2),(90.9,10.1),(18.0,33.7),(23.8,48.5),(97.1,4.7)...]"
WH_0003,82,53.37,55.79,54.49,63.35,4.53,49.7,310.3,"[(71.8,5.2),(95.6,36.2),(1.8,28.9),(19.6,13.7),(0.8,4.0)...]"
WH_0004,61,46.75,48.3,47.73,55.49,3.31,53.0,265.5,"[(34.6,36.7),(97.6,38.5),(64.1,0.6),(82.2,20.8),(13.3,24.1)...]"
WH_0005,61,48.62,50.43,49.64,57.71,3.72,60.7,293.0,"[(77.5,2.2),(66.1,8.2),(18.5,6.6),(17.4,36.3),(9.8,40.9)...]"
WH_0006,82,58.02,61.08,59.23,68.86,5.29,62.1,323.7,"[(56.1,26.6),(60.3,20.6),(67.6,17.4),(80.5,45.0),(27.0,1.1)...]"
WH_0007,73,53.84,55.43,54.97,63.91,2.95,47.5,338.3,"[(39.6,8.7),(91.5,42.8),(53.3,11.4),(15.8,41.9),(69.6,14.0)...]"
WH_0008,58,45.44,47.89,46.39,53.94,5.4,64.7,304.8,"[(66.9,25.4),(82.9,43.7),(87.9,24.7),(57.2,35.1),(51.7,49.6)...]"
WH_0009,70,58.41,62.0,59.64,69.33,6.15,61.9,340.4,"[(84.6,27.1),(69.2,38.1),(43.0,41.7),(67.3,22.0),(27.5,15.1)...]"
WH_0010,58,40.59,41.4,41.44,48.18,2.0,49.5,312.7,"[(1.9,11.3),(47.7,32.0),(68.8,48.9),(72.3,30.2),(69.3,17.9)...]"
WH_0011,58,50.17,51.78,51.23,59.56,3.2,69.8,257.8,"[(66.6,23.2),(96.6,48.2),(76.1,26.0),(95.1,33.9),(70.3,15.6)...]"
WH_0012,66,55.61,56.86,56.78,66.01,2.26,67.6,263.2,"[(47.0,31.7),(89.0,11.1),(70.8,16.1),(6.2,42.4),(14.7,36.4)...]"
WH_0013,42,34.8,35.49,35.53,41.3,2.0,64.0,326.2,"[(69.4,27.2),(77.1,35.5),(65.5,8.4),(15.2,39.0),(87.6,29.2)...]"
WH_0014,43,43.6,45.41,44.52,51.75,4.15,61.5,260.7,"[(54.6,32.1),(96.7,33.6),(5.2,31.6),(50.5,9.9),(71.8,20.9)...]"
WH_0015,57,45.2,47.87,46.15,53.65,5.91,53.3,338.8,"[(27.1,40.3),(59.8,41.1),(86.6,46.6),(94.7,27.2),(10.6,10.0)...]"
WH_0016,51,50.99,54.08,52.06,60.53,6.05,46.8,304.3,"[(95.3,34.8),(32.7,35.1),(35.4,8.6),(50.6,25.0),(94.1,20.6)...]"
WH_0017,67,58.79,61.24,60.03,69.79,4.16,64.1,270.6,"[(7.4,47.0),(37.5,31.8),(80.4,16.2),(43.3,13.5),(99.7,9.5)...]"
WH_0018,53,40.75,44.09,41.61,48.37,8.18,54.3,332.4,"[(22.9,21.2),(59.7,4.2),(92.8,30.3),(92.9,44.0),(34.2,44.1)...]"
WH_0019,47,39.16,41.32,39.98,46.48,5.51,57.6,280.6,"[(15.5,28.4),(8.3,29.0),(48.5,24.5),(30.2,32.2),(56.3,11.5)...]"
WH_0020,81,55.19,57.67,56.35,65.51,4.51,54.4,226.5,"[(76.1,46.4),(15.4,3.1),(48.7,4.6),(43.0,8.1),(59.7,29.8)...]"
WH_0021,61,44.22,45.19,45.15,52.49,2.18,53.3,291.0,"[(5.3,19.8),(69.2,9.1),(45.8,7.8),(22.7,41.4),(61.4,2.1)...]"
WH_0022,64,55.58,58.97,56.75,65.97,6.1,47.8,236.4,"[(41.7,28.6),(16.0,40.3),(17.1,38.0),(41.8,7.7),(75.7,7.5)...]"
WH_0023,46,43.3,44.64,44.21,51.4,3.09,59.8,269.4,"[(97.9,4.5),(67.4,30.0),(84.7,17.0),(32.4,45.9),(67.6,20.3)...]"
WH_0024,57,41.98,44.06,42.86,49.83,4.96,55.6,241.1,"[(60.7,30.7),(38.9,44.9),(24.0,40.5),(9.5,29.2),(31.5,36.5)...]"
WH_0025,65,42.97,46.12,43.87,51.0,7.32,56.1,283.7,"[(73.4,40.0),(20.9,27.7),(5.9,41.3),(55.2,31.6),(59.5,39.2)...]"
WH_0026,50,44.56,48.04,45.49,52.89,7.81,69.2,245.5,"[(41.5,6.7),(2.4,7.9),(33.5,47.5),(17.7,44.0),(9.8,45.4)...]"
WH_0027,68,46.49,48.94,47.47,55.19,5.28,50.1,313.6,"[(2.3,6.5),(86.2,33.6),(57.7,36.5),(89.1,28.8),(59.7,10.3)...]"
WH_0028,56,43.12,46.35,44.03,51.19,7.48,67.1,263.9,"[(51.1,29.8),(60.4,49.8),(46.1,21.8),(82.9,46.0),(83.0,17.3)...]"
WH_0029,60,42.4,44.07,43.29,50.32,3.95,47.4,338.4,"[(82.8,4.4),(0.1,18.9),(30.8,20.7),(24.1,2.0),(23.4,13.7)...]"
WH_0030,56,47.35,48.89,48.34,56.2,3.24,62.2,245.5,"[(0.6,17.8),(48.4,31.7),(12.3,9.3),(30.8,37.5),(92.6,27.3)...]"
WH_0031,86,55.68,58.28,56.85,66.1,4.66,54.0,311.1,"[(21.2,28.9),(4.1,28.5),(32.2,16.6),(56.0,15.8),(85.8,5.3)...]"
WH_0032,63,44.37,46.75,45.3,52.67,5.37,60.7,256.7,"[(76.5,24.0),(92.9,3.4),(20.5,27.5),(79.8,20.9),(73.9,43.9)...]"
WH_0033,51,43.52,47.44,44.43,51.66,9.0,71.6,251.4,"[(27.9,21.6),(40.5,39.1),(99.9,24.2),(5.5,39.7),(57.9,28.8)...]"
WH_0034,73,55.86,56.98,57.03,66.3,2.0,48.5,304.5,"[(68.1,2.6),(71.6,11.6),(60.7,24.6),(8.9,15.5),(67.7,9.1)...]"
WH_0035,49,37.69,38.59,38.48,44.74,2.39,64.2,242.9,"[(98.2,21.9),(91.2,17.1),(43.9,27.3),(4.0,4.6),(36.2,37.8)...]"
WH_0036,66,55.76,58.83,56.93,66.19,5.5,52.6,229.1,"[(23.5,33.7),(49.4,49.0),(91.5,49.3),(21.2,34.3),(14.4,12.2)...]"
WH_0037,42,40.98,43.59,41.84,48.64,6.38,48.5,268.9,"[(5.7,0.4),(12.0,1.0),(58.1,29.3),(92.9,22.8),(49.7,25.9)...]"
WH_0038,48,45.31,49.38,46.26,53.78,9.0,49.7,333.4,"[(9.9,39.5),(62.3,30.8),(44.7,2.2),(77.8,31.1),(22.0,15.4)...]"
WH_0039,66,44.8,47.64,45.74,53.17,6.34,62.2,324.2,"[(61.3,11.9),(15.7,47.5),(96.2,15.3),(51.8,8.4),(7.3,23.0)...]"
WH_0040,72,48.46,50.7,49.48,57.53,4.6,60.4,332.8,"[(46.6,20.0),(36.2,17.5),(10.8,38.6),(87.6,40.2),(78.3,7.7)...]"
WH_0041,66,50.94,53.42,52.01,60.47,4.86,46.6,254.1,"[(43.2,28.5),(96.7,46.0),(45.2,48.4),(14.3,27.0),(38.9,22.9)...]"
WH_0042,62,44.04,46.47,44.97,52.28,5.51,56.9,263.4,"[(43.6,47.5),(15.7,19.2),(94.8,21.2),(76.7,35.7),(26.8,30.2)...]"
WH_0043,60,52.97,54.08,54.09,62.88,2.09,60.0,288.6,"[(52.2,38.2),(58.6,12.4),(0.8,1.8),(76.1,5.1),(71.3,36.4)...]"
WH_0044,46,44.2,47.04,45.13,52.46,6.42,49.4,275.9,"[(65.5,16.9),(23.3,4.5),(86.4,48.1),(30.9,40.4),(69.4,23.0)...]"
WH_0045,55,52.45,54.39,53.55,62.25,3.7,49.0,286.3,"[(28.7,46.6),(73.7,4.5),(45.3,25.6),(98.9,45.9),(5.5,45.2)...]"
WH_0046,58,48.16,49.33,49.17,57.17,2.42,45.0,251.4,"[(46.1,44.1),(90.1,1.0),(93.0,37.6),(38.4,23.7),(49.2,22.3)...]"
WH_0047,76,53.12,57.34,54.24,63.06,7.94,64.2,226.8,"[(20.8,0.9),(25.0,32.7),(80.6,30.9),(28.0,15.5),(19.2,4.3)...]"
WH_0048,68,48.14,51.45,49.15,57.14,6.87,69.0,225.3,"[(86.0,16.9),(45.8,23.7),(26.2,30.7),(24.2,43.4),(48.3,33.1)...]"
WH_0049,42,39.65,41.5,40.48,47.06,4.67,66.9,289.8,"[(91.4,23.5),(83.3,35.3),(29.8,47.0),(78.9,16.5),(3.1,2.1)...]"
WH_0050,67,53.41,56.06,54.53,63.4,4.97,52.0,231.0,"[(27.8,18.4),(6.2,45.7),(16.2,18.4),(89.5,18.7),(68.6,19.2)...]"
WH_0051,59,49.42,52.69,50.45,58.66,6.62,64.3,307.0,"[(11.9,9.6),(22.5,42.0),(50.0,36.2),(84.0,44.7),(70.1,5.9)...]"
WH_0052,55,40.9,43.61,41.76,48.55,6.62,64.4,285.5,"[(47.7,22.4),(64.2,3.6),(3.8,47.7),(62.1,11.2),(77.8,46.1)...]"
WH_0053,71,45.62,47.13,46.58,54.15,3.31,48.1,273.4,"[(70.9,3.4),(24.9,23.2),(32.4,41.0),(33.4,30.7),(2.6,41.6)...]"
WH_0054,76,58.39,61.7,59.62,69.31,5.66,63.5,328.3,"[(64.8,10.5),(71.2,22.8),(17.8,45.4),(8.0,5.2),(94.0,36.0)...]"
WH_0055,75,55.06,56.73,56.21,65.35,3.04,60.9,288.3,"[(25.0,26.7),(61.0,41.2),(58.5,5.2),(37.0,47.2),(48.6,39.8)...]"
WH_0056,53,51.61,53.78,52.69,61.26,4.2,58.1,280.1,"[(20.3,16.5),(45.2,29.4),(79.7,42.4),(59.0,22.1),(9.7,0.9)...]"
WH_0057,60,46.02,49.08,46.99,54.63,6.65,71.9,252.8,"[(78.5,47.8),(82.2,25.0),(55.4,46.6),(18.0,29.2),(46.8,26.9)...]"
WH_0058,67,49.99,51.78,51.04,59.34,3.58,64.3,332.0,"[(43.7,39.4),(52.0,27.1),(29.5,16.2),(1.5,6.8),(22.0,44.4)...]"
WH_0059,75,48.91,50.57,49.94,58.06,3.39,50.7,283.9,"[(15.5,26.7),(45.2,7.2),(40.8,0.5),(68.7,40.4),(25.0,8.8)...]"
WH_0060,58,41.89,42.95,42.77,49.72,2.54,54.0,268.6,"[(2.0,28.9),(67.1,17.1),(52.3,4.2),(89.9,49.6),(16.4,6.4)...]"
WH_0061,61,49.27,51.19,50.31,58.49,3.9,62.0,264.3,"[(21.4,23.1),(58.5,19.5),(44.3,43.2),(3.4,46.5),(32.0,15.2)...]"
WH_0062,50,39.55,42.88,40.38,46.95,8.42,66.9,248.9,"[(30.1,43.0),(57.8,11.4),(49.8,11.0),(58.0,10.1),(28.7,46.1)...]"
WH_0063,49,46.28,48.93,47.26,54.94,5.71,69.5,342.5,"[(71.7,33.0),(94.3,20.1),(52.8,45.4),(54.0,31.9),(46.1,38.5)...]"
WH_0064,73,59.18,63.77,60.42,70.25,7.75,63.5,287.6,"[(6.4,36.6),(40.2,30.5),(2.3,41.0),(32.9,20.2),(53.7,11.1)...]"
WH_0065,80,57.85,60.9,59.07,68.67,5.27,47.0,279.9,"[(83.0,5.2),(41.9,11.9),(19.4,19.0),(28.5,23.8),(50.5,2.2)...]"
WH_0066,63,45.96,48.64,46.92,54.55,5.85,51.1,287.5,"[(89.1,39.6),(9.4,25.5),(98.9,6.4),(94.9,36.9),(7.8,19.8)...]"
WH_0067,76,56.63,59.43,57.82,67.22,4.95,48.1,327.7,"[(56.3,37.4),(94.5,23.5),(19.6,39.1),(64.2,37.3),(81.7,30.2)...]"
WH_0068,68,51.81,54.69,52.89,61.49,5.57,56.9,286.6,"[(25.2,21.1),(77.7,28.3),(95.7,18.3),(69.7,46.8),(59.6,2.7)...]"
WH_0069,56,43.06,45.54,43.96,51.11,5.76,63.4,317.8,"[(67.3,32.2),(38.7,38.1),(25.1,38.0),(16.6,44.3),(34.9,36.5)...]"
WH_0070,68,46.36,47.71,47.33,55.03,2.92,50.5,322.5,"[(50.4,6.0),(89.4,32.5),(93.6,28.4),(80.7,27.7),(63.6,1.6)...]"
WH_0071,82,63.58,64.85,64.91,75.46,2.0,71.9,284.2,"[(16.7,7.2),(2.8,26.1),(62.9,0.4),(97.6,15.8),(33.1,33.9)...]"
WH_0072,63,53.26,56.2,54.38,63.22,5.52,53.6,323.5,"[(17.8,17.2),(51.3,34.7),(81.4,38.0),(77.7,42.6),(78.9,48.6)...]"
